kelime,kok
yaşamış,yaşa:mış
hanımefendiye,hanımefendi:ye
yerleşmişti,yerleş:mişti
idare,idare
mazur,mazur
tükeniyordu,tüken:iyordu
koydurdum,koy:durdum
arzusuna,arzu:suna
giyindim,giyin:dim
dilemekte,dile:mekte
ağzı,ağız:ı
genişlediğini,genişle:diğini
çevirdiler,çevir:diler
bunları,bun:ları
durduğumu,dur:duğumu
homurtular,homurtu:lar
mademki,mademki
çıkarmıyor,çıkar:mıyor
bırakmaktan,bırak:maktan
düşünüyor,düşün:üyor
bükerek,bük:erek
tanışmamışsınızdır,tanış:mamışsınızdır
arıyormuş,ara:ıyormuş
halinizde,hal:inizde
eğlencemdir,eğlence:mdir
mahkemeden,mahkeme:den
bulunduysam,bulun:duysam
denildiği,de:nildiği
söyleyecek,söyle:yecek
çünkü,çünkü
operası,opera:sı
bulduğu,bul:duğu
sahi,sahi
hissetti,hisset:ti
usulleri,usul:leri
gerilme,ger:ilme
ayındaki,ayın:daki
yıkadım,yıka:dım
küçülmüş,küçül:müş
yanmıştı,yan:mıştı
isteyişimizin,iste:yişimizin
jinekoloğa,jinekolog:a
yazdı,yaz:dı
eğerek,eğ:erek
hoşnut,hoşnut
sanacaklarını,san:acaklarını
projelerden,proje:lerden
havalar,hava:lar
kadarcık,kadar:cık
hallerine,hal:lerine
anlamaktan,anla:maktan
olmadan,ol:madan
oldu,ol:du
dansetmeye,danset:meye
olanaksız,olanak:sız
hacda,hac:da
hissediyordum,hisset:iyordum
muvakkat,muvakkat
bıraktı,bırak:tı
kurtaramıyordum,kurtar:amıyordum
yanaşmıyorlardı,yanaş:mıyorlardı
hulasa,hulasa
hızını,hız:ını
herkesi,herkes:i
birazdan,biraz:dan
istersen,iste:rsen
istersek,iste:rsek
karşılaştıklarını,karşılaş:tıklarını
edebildiğimi,et:ebildiğimi
koşmaz,koş:maz
devam,devam
ihtiyarladıkça,ihtiyarla:dıkça
doğrulduk,doğrul:duk
neşeliydi,neşe:liydi
peşin,peşin
omuzuna,omuz:una
tren,tren
uyumayalım,uyu:mayalım
aksırırsa,aksır:ırsa
evde,ev:de
hayalden,hayal:den
hakarete,hakaret:e
ahmet,ahmet
çarpıntılara,çarpıntı:lara
müşterileri,müşteri:leri
kalacağı,kal:acağı
müşterilere,müşteri:lere
komik,komik
reddediyorum,reddet:iyorum
yirmi,yirmi
endişeli,endişe:li
ıslıkla,ıslık:la
madonnaya,madonna:ya
alçakgönüllü,alçakgönüllü
iskemle,iskemle
netice,netice
mektebini,mektep:ini
kardeşlerinin,kardeş:lerinin
kışı,kış:ı
bunlara,bun:lara
karaya,kara:ya
çaldıktan,çal:dıktan
sallayarak,salla:yarak
götür,götür
ölüsünün,ölü:sünün
şişman,şişman
umardım,umar:dım
bırakamaz,bırak:amaz
kadrilinin,kadril:inin
hesaptan,hesap:tan
fikirlerinin,fikir:lerinin
sezişlerle,seziş:lerle
kurtardığı,kurtar:dığı
kaya,kaya
ücretle,ücret:le
isteriz,iste:riz
divan,diva:n
bulacaksın,bul:acaksın
ücretli,ücret:li
duydum,duy:dum
vagonun,vagon:un
duyduk,duy:duk
olacak,ol:acak
olmuştum,ol:muştum
sopaları,sopa:ları
kaldıktan,kal:dıktan
edilmesi,et:ilmesi
olmuştur,ol:muştur
alan,al:an
elbette,elbette
çıkartan,çıkart:an
avlarken,avla:rken
göstermeye,göster:meye
birazcık,biraz:cık
fırlıyor,fırla:yor
singer,singer
yamamak,yama:mak
bulmuyordu,bul:muyordu
ilerlemiş,ilerle:miş
bunların,bun:ların
boşalıp,boşal:ıp
yanında,yan:ında
kitabı,kitap:ı
amiller,amil:ler
oyuncak,oyuncak
yüksüğü,yüksük:ü
çekinmiyorduk,çekin:miyorduk
bulunuyordum,bulun:uyordum
layıksın,layık:sın
gezecek,gez:ecek
kızarır,kızar:ır
devirde,devir:de
alması,al:ması
koşuda,koşut:a
kaldığını,kal:dığını
atıyordum,ata:yordum
bulmaya,bulma:ya
durmanı,dur:manı
farketmediği,farket:mediği
sigara,sigar:a
yakmaya,yak:maya
tanıyamamış,tanı:yamamış
unutmuştum,unut:muştum
orkestranın,orkestra:nın
tarafındayım,taraf:ındayım
ismindeki,isim:ndeki
alnından,alın:ndan
bilişim,biliş:im
atlantik'te,atlantik:'te
haftalarca,haftalarca
işaret,işaret
şıpırdayan,şıpır:dayan
rica,rica
çekersin,çeker:sin
ayağı,ayak:ı
zamanımız,zaman:ımız
çuvala,çuval:a
kıpırdamadı,kıpırda:madı
çekiliyordu,çekil:iyordu
istediğinizi,iste:diğinizi
yersem,yer:sem
aram,ara:m
ahbapça,ahbap:ça
dansa,dans:a
sorusunu,soru:sunu
şeyleri,şey:leri
kır,kır
çatalı,çatal:ı
ayrıca,ayrıca
kalemi,kalem:i
dostluğumuz,dostluk:umuz
kız,kız
yaşamaktan,yaşa:maktan
şeylere,şey:lere
sevilmemiş,sev:ilmemiş
ihtiyatlı,ihtiyat:lı
hatırlıyorum,hatırla:yorum
ötekiler,öteki:ler
yapamazdım,yap:amazdım
kıh,kıh
kolunda,kol:unda
kıl,kıl
mıydı,mı:ydı
gömleğinin,gömlek:inin
darılmayın,darıl:mayın
sevindi,sevin:di
gölcüklerden,gölcük:lerden
bekledi,bekle:di
tutabilmesi,tut:abilmesi
dolaşıyorlardı,dolaş:ıyorlardı
şeklini,şekil:ni
sormamı,sor:mamı
çektikleri,çek:tikleri
şaşırdığını,şaşır:dığını
hisselerini,hisse:lerini
avrupa'yı,avrupa:'yı
bulutlarda,bulut:larda
başımda,baş:ımda
çoğaldığı,çoğal:dığı
derinliğinde,derin:liğinde
anlamazsın,anla:mazsın
çalıyor,çal:ıyor
zeytin,zeytin
hapishanedeydi,hapishane:deydi
yazarak,yaz:arak
boşta,boş:ta
taşıyorum,taş:ıyorum
hoşlanmazdım,hoşlan:mazdım
gölün,göl:ün
kırptığını,kırp:tığını
hatıralar,hatıra:lar
gözler,gözle:r
roller,rol:ler
ihanetini,ihanet:ini
inanamamak,inan:amamak
yeterince,yeterince
vesveselenmeye,vesvese:lenmeye
sokaklarda,sokak:larda
aleyhimdeki,aleyh:imdeki
yüzüme,yüz:üme
asker,asker
zatürree,zatürree
edgar,edgar
gitmeyi,git:meyi
katlanırım,katlan:ırım
karyolaların,karyola:ların
ikiye,iki:ye
inhisar,inhisar
afiyet,afiyet
esip,es:ip
cesaretine,cesaret:ine
uslu,uslu
cesaretini,cesaret:ini
mutfak,mutfak
bulunuyordu,bulun:uyordu
niye,niye
ayağa,ayak:a
okuyamadım,oku:yamadım
rastlardım,rastla:rdım
edemedim,edeme:dim
şakadan,şakadan
ihtiyata,ihtiyat:a
sergisinde,sergi:sinde
düşüncelerimizi,düşünce:lerimizi
zaten,zaten
maharetle,maharet:le
bayağı,bayağı
çoğalmıştı,çoğal:mıştı
oradayken,ora:dayken
kollarını,kol:larını
ıstakoz,ıstakoz
sırtında,sırt:ında
ısmarladık,ısmarla:dık
fıkır,fıkır
döndü,dön:dü
edepsizce,edep:sizce
uçtan,uç:tan
başkasıymış,başka:sıymış
olmuyor,ol:muyor
savuran,savur:an
sebep,sebep
bulmayı,bul:mayı
darılmıştı,darıl:mıştı
sual,sual
maceralarını,macera:larını
evlatları,evlat:ları
kış,kış
yalan,yalan
halimde,hal:imde
korkan,kork:an
aramda,ara:mda
yalar,yala:r
memurlarının,memur:larının
korkak,korkak
tasfiye,tasfiye
senelerin,sene:lerin
düşünmekle,düşün:mekle
sahifeler,sahife:ler
yapamazsın,yap:amazsın
çeşmelerin,çeşme:lerin
sözleşmiş,sözleş:miş
sürüklüyorum,sürükle:yorum
oraya,ora:ya
rastladığının,rastla:dığının
gezintimizden,gezinti:mizden
sırıtmayan,sırıt:mayan
yağından,yağı:ndan
dediğim,de:diğim
lambayı,lamba:yı
küçümseyerek,küçümse:yerek
tablodakinin,tablo:dakinin
görüyordum,gör:üyordum
kıymetlisi,kıymet:lisi
görmeyen,gör:meyen
sevdiği,sev:diği
dolduracak,doldur:acak
kızgınlıkla,kızgın:lıkla
olmasın,ol:masın
sınıfta,sınıf:ta
posa,posa
diploması,diploma:sı
sevecenlikle,sevecen:likle
gidin,gidi:n
doluyor,dola:yor
deste,deste
konuştuğumuz,konuş:tuğumuz
burnumda,burun:mda
döndüler,dön:düler
taşıdı,taşı:dı
çıkar,çıkar
dizime,diz:ime
kolayca,kolay:ca
enlem,enlem
tavsiye,tavsiye
çıkan,çık:an
satır,satır
madonna,madonna
haşlıyordu,haşla:yordu
kişisel,kişi:sel
karşılamaya,karşıla:maya
çuval,çuval
geleceği,gelecek:i
gösterebildiğine,göster:ebildiğine
muhakkak,muhakkak
rastgeldiğim,rastgel:diğim
yatısı,yatı:sı
mahcupluğum,mahcup:luğum
geldiği,gel:diği
buçukta,buçuk:ta
şekerlemesi,şekerleme:si
kaffe'ye,kaffe:'ye
tutarsanız,tutar:sanız
sürdürürken,sürdür:ürken
sonbahar,sonbahar
değişti,değiş:ti
çalışmanın,çalışma:nın
taşıdığı,taşı:dığı
kollarımı,kol:larımı
sevdiğine,sevdiğin:e
adımlık,adım:lık
sevdiğini,sev:diğini
sizdiniz,siz:diniz
topladım,topla:dım
ifadesine,ifade:sine
elveda,elveda
kalmış,kal:mış
ettiler,et:tiler
koşup,koş:up
dalgınlık,dalgın:lık
ifadesini,ifade:sini
satmak,sat:mak
odadan,oda:dan
giyindikten,giyin:dikten
bohçalar,bohça:lar
hayat,hayat
uzattı,uzat:tı
anımsayarak,anımsa:yarak
yöntem,yöntem
çekebilecek,çek:ebilecek
kazanç,kazanç
almanya'yı,almanya:'yı
anlayabileceğiniz,anla:yabileceğiniz
istemeniz,iste:meniz
kendimizden,kendi:mizden
yakalanmayan,yakala:nmayan
sarhoşluk,sarhoş:luk
mesut,mesut
galiba,galiba
gelmezdi,gel:mezdi
kralın,kral:ın
hah,hah
müddetçe,müddet:çe
ilerideki,ileri:deki
hal,hal
atılarak,atıl:arak
elbiseleriyle,elbise:leriyle
öğretmişti,öğret:mişti
parladığı,parla:dığı
büyüdüğüm,büyü:düğüm
sıkılıyorsun,sıkıla:yorsun
karıştığı,karış:tığı
hay,hay
duymamıştım,duy:mamıştım
biridir,bir:idir
başlayamamıştım,başla:yamamıştım
bazı,bazı
çocuklaştırmıştı,çocuk:laştırmıştı
sıkmak,sık:mak
bırakmayacağını,bırak:mayacağını
sormadan,sor:madan
yutabildi,yut:abildi
edremit,edremit
vücudum,vücut:um
sürünmeden,sürün:meden
bakın,bakın
lambayla,lamba:yla
dostlarına,dost:larına
sarhoş,sarhoş
yüzündeki,yüz:ündeki
kısalıyorum,kısal:ıyorum
müstakbel,müstakbel
bakıp,bak:ıp
sanmıyorum,san:mıyorum
ipekli,ipekli
sevdasına,sevda:sına
tanelerini,tane:lerini
uzaklaştırmasına,uzaklaş:tırmasına
dopdoluydu,dopdolu:ydu
edemiyorum,edeme:yorum
söyleyeceksin,söyle:yeceksin
suratlı,surat:lı
hatırlamaya,hatırla:maya
veremeyecek,ver:emeyecek
alice,alice
dizginsiz,dizgin:siz
kudreti,kudret:i
kulaklarının,kulak:larının
xıı,xıı
benin,be:nin
başladılar,başla:dılar
gümüş,gümüş
bakıyormuş,bak:ıyormuş
ikincisinin,ikinci:sinin
karyolaları,karyola:ları
annenizin,anne:nizin
hissiz,his:siz
bakmadan,bak:madan
kararlaştırırız,karar:laştırırız
bekletti,bekle:tti
memurdu,memur:du
kesiliyordu,kes:iliyordu
oluyoruz,ol:uyoruz
kenardaki,kenar:daki
apaçık,apaçık
korkulacak,kork:ulacak
budanıp,budan:ıp
çemberinden,çember:inden
baktığında,bak:tığında
anladığı,anla:dığı
bize,biz:e
zevki,zevk:i
bizi,biz:i
küçülmeye,küçül:meye
otursak,otur:sak
tavşanına,tavşan:ına
insaflı,insaf:lı
kaçmak,kaç:mak
kira,kira
koca,koca
karmakarışık,karmakarışık
telaşına,telaş:ına
kalıyordu,kal:ıyordu
gidebileceğimi,git:ebileceğimi
gözyaşları,gözyaş:ları
umumi,umumi
içeridekiler,içeri:dekiler
görmeyerek,gör:meyerek
çekerek,çek:erek
dikkatini,dikkat:ini
bilmeyen,bil:meyen
cazibe,cazibe
hissin,his:sin
kıyaslandığında,kıyasla:ndığında
kapılarının,kapı:larının
macerası,macera:sı
sakınma,sakın:ma
meşguldü,meşgul:dü
lezzete,lezzet:e
kırarak,kır:arak
dikkatine,dikkat:ine
mantıksızlıklar,mantık:sızlıklar
hikaye,hikaye
bozulmaya,bozul:maya
münakaşa,münakaşa
ilerleme,ilerle:me
lezzeti,lezzet:i
o,o
kaldırmadan,kaldır:madan
düşesin,düşes:in
yoktu,yok:tu
gelerek,gel:erek
delaletiyle,delalet:iyle
sürüklenebilirim,sürükle:nebilirim
yabancılığı,yabancı:lığı
tesadüfle,tesadüf:le
gülümserken,gülümse:rken
beklenir,bek:lenir
sol,sol
son,son
kalmayarak,kal:mayarak
işitmediği,işit:mediği
kahramanlardan,kahraman:lardan
tutsan,tut:san
matince,mat:ince
mektuplaştık,mektup:laştık
buyurduğu,buyur:duğu
sokularak,sokul:arak
mağazalardan,mağaza:lardan
halli,hal:li
girerek,gir:erek
rolü,rol:ü
saadetin,saadet:in
kullanmamalıydın,kullan:mamalıydın
lehinizde,leh:inizde
morcar,morcar
suratla,surat:la
berlin'den,berlin:'den
dakikalığına,dakika:lığına
görmemek,gör:memek
kemirerek,kemir:erek
giyimine,giyim:ine
charite'ye,charite:'ye
akşamki,akşamki
gülerlerdi,gül:erlerdi
imzanı,imza:nı
kurtardım,kurtar:dım
dökebilsem,dök:ebilsem
bildiği,bil:diği
hopladı,hopla:dı
dudakların,dudak:ların
köstence'de,köstence:'de
gözetmekle,gözet:mekle
gazinolar,gazino:lar
ihtiyardan,ihtiyar:dan
almanya'ya,almanya:'ya
bakıyorlardı,bak:ıyorlardı
verdi,verdi
kendileri,kendi:leri
gelmeyecek,gel:meyecek
sorun,sorun
çorba,çorba
hükme,hüküm
teferruat,teferruat
hıçkırıklarının,hıçkırık:larının
alakamı,alaka:mı
açmadım,açma:dım
sezdirmekten,sez:dirmekten
sıkıştırıldıktan,sıkış:tırıldıktan
oluruz,ol:uruz
araştırıcıydı,araştır:ıcıydı
ateşler,ateş:ler
aklında,akıl:ında
seneleriydi,sene:leriydi
kaldırsanız,kaldır:sanız
yatırdım,yatır:dım
sesle,sesle
kollarım,kolla:rım
müreffeh,müreffeh
köpeğe,köpek:e
küçültür,küçül:tür
boyunca,boyun:ca
hanımın,han:ımın
resminde,resim:nde
hoşlanmıyordum,hoşlan:mıyordum
kenarlı,kenar:lı
zalimlik,zalim:lik
gazetelerde,gazete:lerde
içmekten,iç:mekten
bileceksiniz,bil:eceksiniz
geçir,geçir
erkeğin,erkek:in
dökmüş,dök:müş
uyardı,uyar:dı
akla,ak:la
havran'dayken,havran:'dayken
tükenmez,tükenmez
dağılıp,dağıl:ıp
patates,patates
camlarından,cam:larından
açtığını,aç:tığını
kuvvetimle,kuvvet:imle
neşeli,neşe:li
okumadılar,oku:madılar
ayran,ayran
memurlarındandı,memur:larındandı
fenalaşıvermiş,fena:laşıvermiş
tanesini,tane:sini
cephe,cephe
kazanı,kazan:ı
merhameti,merhamet:i
tavşanını,tavşan:ını
kaçmayı,kaç:mayı
kadındı,kadın:dı
çıkarılacak,çıkar:ılacak
tutmaya,tut:maya
gördükleri,gör:dükleri
sürümler,sürüm:ler
değişmiştim,değiş:miştim
ormana,orman:a
mırıldanarak,mırıldan:arak
halledebileceğini,hallet:ebileceğini
küreklerle,kürek:lerle
misafirlerin,misafir:lerin
doktor,doktor
tanıştığı,tanış:tığı
olduğunuzu,ol:duğunuzu
memursunuz,memur:sunuz
bitiriyor,bitir:iyor
açsa,aç:sa
yaklaştırdı,yaklaş:tırdı
bulabildiği,bul:abildiği
avantajı,avantaj:ı
hisleri,his:leri
gidemezdim,git:emezdim
tablosu,tablo:su
birleştiğimiz,birleş:tiğimiz
ver,ver
yeri,yer:i
servetini,servet:ini
ıv,ıv
tarafından,taraf:ından
ıx,ıx
karşılaştığımız,karşılaş:tığımız
sokulmuş,sokul:muş
düşecek,düş:ecek
verebileceğimizden,ver:ebileceğimizden
geciken,gecik:en
bahsi,bahis
işitebilmek,işit:ebilmek
ağızlarında,ağız:larında
çekindiler,çekin:diler
konusunda,konu:sunda
karşımdakine,karşı:mdakine
durduğumuzu,dur:duğumuzu
bağırdım,bağır:dım
olacağıydı,ol:acağıydı
oturmadığını,otur:madığını
azaltacağını,azalt:acağını
havuzdan,havuz:dan
girdikten,gir:dikten
alabildiğine,alabildiğine
murat,murat
belki,belki
uyuyamadım,uyu:yamadım
değildik,değil:dik
değildin,değil:din
hatırlamıyorum,hatırla:mıyorum
değildim,değil:dim
değildir,değil:dir
tiergarten'deki,tiergarten:'deki
canlanan,canlan:an
ürkek,ürkek
faresiyle,fare:siyle
yolsuzluklar,yolsuz:luklar
arkadaşlığımız,arkadaş:lığımız
yapacağını,yap:acağını
kuruyken,kuru:yken
tünel,tünel
itimatsızlıkla,itimat:sızlıkla
sürüyor,sür:üyor
görüşemesek,görüş:emesek
sahilin,sahil:in
şüphelenmeye,şüphelen:meye
anlamı,anlam:ı
baltalardan,balta:lardan
eğildiği,eğil:diği
gecede,gece:de
annemden,anne:mden
ağaçlara,ağaç:lara
ordu,ordu
kaytan,kaytan
seferinde,sefer:inde
etmezlerdi,et:mezlerdi
konularda,konu:larda
radyo,radyo
haftadır,hafta:dır
oturmaması,otur:maması
çaydan,çay:dan
uyumuyorlar,uyu:muyorlar
kurtulamamıştım,kurtul:amamıştım
olduğuna,ol:duğuna
hamletmeyin,hamlet:meyin
zincirle,zincirle
çörek,çörek
değiştirelim,değiş:tirelim
öyle,öyle
meselesidir,mesele:sidir
çekiniyordu,çekin:iyordu
kabahatlerin,kabahat:lerin
olduğunu,ol:duğunu
iğneli,iğne:li
uyudu,uyu:du
atamamış,ata:mamış
çıkınca,çık:ınca
yazısını,yazı:sını
cümle,cümle
bileceğine,bil:eceğine
hoşlandığı,hoşlan:dığı
bahsediyor,bahset:iyor
kalkarsa,kalk:arsa
hissettim,hisset:tim
bırakmazlar,bırak:mazlar
şapkanı,şapka:nı
benzediklerini,benze:diklerini
çıkarmasaydı,çıkar:masaydı
kendisini,kendi:sini
çocukluğumun,çocukluk:umun
göstermek,göster:mek
dinledikten,dinle:dikten
ipi,ip:i
arkadaşlarımdan,arkadaş:larımdan
zevkle,zevk:le
lüzumunu,lüzum:unu
karşıya,karşı:ya
benzetiyordum,benzet:iyordum
efradından,efrat:ından
şan,şa:n
beyefendi,beyefendi
sabunculuğu,sabuncu:luğu
yapışmış,yapış:mış
anların,an:ların
zevkli,zevk:li
tümü,tüm:ü
bitirmeden,bitir:meden
çalışmayalım,çalış:mayalım
boyları,boy:ları
edasıyla,eda:sıyla
efendi,efendi
soracaktım,sor:acaktım
dalaşı,dalaş:ı
hatalarını,hata:larını
köşesine,köşe:sine
ticaret,ticaret
mevsimi,mevsim:i
arapça,arapça
karlar,kar:lar
aldırma,aldır:ma
dayandığını,dayan:dığını
gecikmeden,gecik:meden
atladım,atla:dım
işleyen,işle:yen
sokmuştu,sok:muştu
tahlildir,tahlil:dir
tadil,tadil
atarak,at:arak
ıı,ıı
azalıyor,azal:ıyor
sesleri,ses:leri
kuvveti,kuvvet:i
dinliyormuş,dinle:iyormuş
hatırlayarak,hatırla:yarak
kuvvete,kuvvet:e
otomobiline,otomobil:ine
geçirdiğimi,geçir:diğimi
sebeplerini,sebep:lerini
başkentidir,başkent:idir
görüyorum,gör:üyorum
yerdir,ye:rdir
gezdireceğim,gez:direceğim
ettiremez,et:tiremez
