açtı,aç:tı
üyelerinden,üye:lerinden
kararsız,karar:sız
destesinin,deste:sinin
çekiyorlarmış,çek:iyorlarmış
hakkında,hak:kında
belirginleşince,belirgin:leşince
sebebinin,sebep:inin
gördüm,gör:düm
küçülüyor,küçül:üyor
getirinceye,getir:inceye
dayandığını,dayan:dığını
flamingonun,flamingo:nun
mal,mal
sormamı,sor:mamı
anlatacağım,anlat:acağım
çıkmam,çıkma:m
sevdiğini,sev:diğini
kimmiş,kim:miş
çocuklar,çocuk:lar
düştüğüne,düş:tüğüne
sıkıca,sıkı:ca
haykıran,haykır:an
ayaklarına,ayak:larına
bitinceye,bit:inceye
birisi,birisi
çığlığı,çığlık:ı
içerken,iç:erken
bilsem,bil:sem
demiştin,de:miştin
olan,ol:an
görmedim,gör:medim
bizlerle,biz:lerle
duyuldu,duy:uldu
değişiklikler,değişik:likler
ortalığı,ortalık:ı
oturuyorlardı,otur:uyorlardı
kazanmaya,kazan:maya
girerek,gir:erek
durum,durum
dersen,ders:en
yanar,yan:ar
verdiğin,ver:diğin
parçalanıyormuş,parçala:nıyormuş
yaptığı,yap:tığı
boğazıma,boğaz:ıma
biliyordu,bil:iyordu
bitince,bit:ince
bulunduğu,bulun:duğu
kaybedilecek,kaybet:ilecek
tavşana,tavşan:a
alışmıştı,alış:mıştı
mecburen,mecburen
duruma,durum:a
kıpırtısından,kıpırtı:sından
kullanmamalıydın,kullan:mamalıydın
kartal,kartal
gelmez,gel:mez
pençelerini,pençe:lerini
geçiyorlardı,geç:iyorlardı
küçükken,küçük:ken
düşünceleriniz,düşünce:leriniz
bırakmak,bırak:mak
olamıyorsun,ol:amıyorsun
işitemiyor,işit:emiyor
güvercin,güvercin
başlamıştın,başla:mıştın
söyledim,söyle:dim
ülkenin,ülke:nin
yazmak,yaz:mak
tamamen,tamamen
kabalık,kaba:lık
yerinden,yerinde:n
iyice,iyi:ce
şeydir,şey:dir
otlar,otla:r
sağlayacağım,sağla:yacağım
sende,sen:de
oturmanız,oturma:nız
levha,levha
ortalık,ortalık
yanındakine,yan:ındakine
bakmalıyım,bak:malıyım
istemem,iste:mem
yazılanları,yaz:ılanları
zıvırın,zıvır:ın
anlayıp,anla:yıp
hoşnut,hoşnut
yavru,yavru
demiştim,de:miştim
etrafları,etraf:ları
görüyorum,gör:üyorum
kapıdan,kapı:dan
geçirdiler,geçir:diler
zıplayarak,zıpla:yarak
edildiğinde,et:ildiğinde
kısalırım,kısal:ırım
harika,harika
istiyorum,iste:iyorum
delikanlı,delikanlı
uyarıyorum,uyar:ıyorum
reddediyor,reddet:iyor
insin,in:sin
nasıldı,nasıl:dı
olacağıydı,ol:acağıydı
öyküsü,öykü:sü
verirdi,ver:irdi
hepimiz,hep:imiz
hatırlattı,hatırla:ttı
döndüren,dön:düren
tamamlayamadan,tamamla:yamadan
ağlamaya,ağla:maya
aynanın,ayna:nın
yatıyor,yat:ıyor
ağaçlıkta,ağaç:lıkta
çarparak,çarp:arak
yüzemezsin,yüz:emezsin
pudralı,pudra:lı
susturulan,sustur:ulan
yüzmeye,yüzme:ye
yanlış,yanlış
arıyormuş,ara:ıyormuş
tarih,tarih
şıpırdayan,şıpır:dayan
çoğunlukla,çoğunluk:la
çağır,çağır
kesim,kesim
sivri,sivri
görünmeye,gör:ünmeye
başlayayım,başla:yayım
aldık,al:dık
fırsattı,fırsat:tı
döndürmüş,dön:dürmüş
biriyim,biri:yim
krema,krema
çöreği,çörek:i
oluncaya,ol:uncaya
mu,mu
nasıl,nasıl
öbürüne,öbür:üne
ıx,ıx
aydınlanan,aydınlan:an
farkederse,farket:erse
yok,yok
derdim,dert:im
ulaşamayacağım,ulaş:amayacağım
aksırmak,aksır:mak
uzaklaştı,uzak:laştı
bileceğini,bil:eceğini
saçlarının,saç:larının
koridor,koridor
insanın,insan:ın
yoksa,yoksa
öldürürmüş,öldür:ürmüş
oradakilerin,ora:dakilerin
anlayamadım,anla:yamadım
huylu,huy:lu
yani,yani
turtası,turta:sı
kullandığınız,kullan:dığınız
program,program
iz,iz
harikalar,harika:lar
ablasının,abla:sının
değmez,değ:mez
birini,biri:ni
söylenenleri,söylen:enleri
başlıyordu,başla:ıyordu
kaplumbağanın,kaplumbağa:nın
geleceğini,gelecek:ini
katlanacağı,katlan:acağı
sevinci,sevinç:i
ettiği,et:tiği
aşırı,aşırı
vermesine,ver:mesine
neleri,ne:leri
durmayarak,dur:mayarak
olurken,ol:urken
çaktı,çak:tı
düşünmüyorum,düşün:müyorum
anlamsız,anlam:sız
düşünceleri,düşünce:leri
sütünü,süt:ünü
idama,idam:a
düşündü,düşün:dü
kanatlanmaları,kanatlan:maları
yerleştirmeyi,yerleş:tirmeyi
oluşturduğu,oluş:turduğu
çuval,çuval
birilerinin,birileri:nin
olurdu,ol:urdu
görmek,gör:mek
şeyi,şey:i
üzüntülü,üzüntü:lü
açamadı,aç:amadı
zamanların,zaman:ların
edemez,et:emez
çıkıp,çık:ıp
boyandığı,boyan:dığı
olabilirim,ol:abilirim
yanılıyorsun,yanıl:ıyorsun
onaylamaya,onayla:maya
arkasında,arka:sında
gitmişti,git:mişti
gidersin,gider:sin
kraliçem,kraliçe:m
üstüme,üst:üme
yaklaştıklarında,yaklaş:tıklarında
yükselip,yüksel:ip
ısrar,ısrar
düşünmek,düşün:mek
çarpsa,çarp:sa
düşüyor,düş:üyor
gelen,gele:n
eğdi,eğ:di
hiçbirini,hiçbiri:ni
bakınıyordu,bakın:ıyordu
beri,beri
ulaşana,ulaş:ana
ıslak,ıslak
mantarı,mantar:ı
bırakarak,bırak:arak
duydu,duy:du
pekala,pekala
denizdeki,deniz:deki
girebileceğini,gir:ebileceğini
olmalıyım,ol:malıyım
soluk,soluk
yanlışlıkla,yanlışlık:la
ondan,onda:n
batan,bat:an
tavşandan,tavşan:dan
ancak,ancak
umarak,um:arak
yılan,yılan
ölüme,ölüm:e
yerlerine,yer:lerine
duyulacak,duy:ulacak
kırılmasın,kır:ılmasın
olsun,ol:sun
mısın,mısın
götürmeyi,götür:meyi
tek,tek
akıllıca,akıllı:ca
veriyormuş,ver:iyormuş
ablasına,abla:sına
salladı,salla:dı
açıkça,açık:ça
kolumu,kol:umu
susmuştu,sus:muştu
buradayım,bura:dayım
salarım,sala:rım
edilenler,et:ilenler
kapılardan,kapı:lardan
izninizle,izin:inizle
ödülü,ödül:ü
sıkıntı,sıkıntı
yeşil,yeşil
görevli,görev:li
farelerden,fare:lerden
aksırırsa,aksır:ırsa
almak,al:mak
metreden,metre:den
tutmak,tut:mak
yarısını,yarı:sını
istiridyenin,istiridye:nin
dışarıdan,dışarı:dan
konuşulmaması,konuş:ulmaması
çığırtma,çığırt:ma
yapmanın,yapma:nın
giderdi,gider:di
öğrenme,öğren:me
gitgide,gitgide
tavandan,tavan:dan
yollamış,yolla:mış
benzemiyordu,benze:miyordu
ikincisi,iki:ncisi
kişisel,kişi:sel
etmenizi,et:menizi
karıştırmakla,karış:tırmakla
nefeseydi,nefes:eydi
ödüller,ödül:ler
denesem,dene:sem
nerededir,nere:dedir
oyalandı,oyala:ndı
hoplama,hopla:ma
ahçısıydı,ahçı:sıydı
sesle,sesle
aksırıyor,aksır:ıyor
edgar,edgar
uzaktaki,uzak:taki
zevkli,zevk:li
dönmem,dönme:m
emziriyor,emzir:iyor
iniyor,in:iyor
tutuklu,tutuklu
çekinerek,çekin:erek
evden,ev:den
olanlar,ol:anlar
bilgisi,bilgi:si
bakacağım,bak:acağım
duruyor,dur:uyor
yaptığının,yap:tığının
bayanı,bayan:ı
gördünüz,gör:dünüz
kuyruk,kuyruk
oğlana,oğlan:a
solgundu,solgun:du
karıştırırsa,karış:tırırsa
böğürtüleri,böğürtü:leri
mi,mi
oranla,oranla
önemlisi,önemli:si
gevezelik,geveze:lik
tane,tane
ederim,eder:im
gruba,grup:a
öfkelendi,öfkelen:di
temizler,temizle:r
çok,çok
eskiden,eski:den
harcamaktan,harca:maktan
beklemek,bekle:mek
değişimler,değişim:ler
sormadan,sor:madan
alın,alın
vurmanın,vur:manın
sen,sen
kazasında,kaza:sında
hoşuna,hoş:una
başlayanlar,başla:yanlar
saçları,saç:ları
bakıyordu,bak:ıyordu
iki,iki
gözlerinin,göz:lerinin
vurguladı,vurgula:dı
sırtlarına,sırt:larına
yapan,yap:an
uzun,uzun
bunların,bun:ların
becerebilirdim,becer:ebilirdim
almayı,al:mayı
tutabilmesi,tut:abilmesi
edilebilir,et:ilebilir
başındaki,baş:ındaki
nasılsa,nasıl:sa
oyununa,oyun:una
ödül,ödül
bakmasının,bak:masının
ileri,ileri
yetişmen,yetiş:men
kadarı,kadar:ı
başlamışlardı,başla:mışlardı
aklında,akıl:ında
satayım,sat:ayım
durup,dur:up
geçebilecek,geç:ebilecek
ikiye,iki:ye
kapısı,kapı:sı
üzüldüm,üzül:düm
sıcaktı,sıcak:tı
karanlığın,karanlık:ın
salonu,salon:u
vermiştin,ver:miştin
oyuncağım,oyuncak:ım
basılmış,bas:ılmış
kurumazsa,kuru:mazsa
kaybolmuştu,kaybol:muştu
istediğini,iste:diğini
göze,göze
kesilinceye,kes:ilinceye
atıyordu,at:ıyordu
otur,otur
yumurta,yumurta
tahtasına,tahta:sına
yüksekliğinde,yüksek:liğinde
kocaman,kocaman
kediyi,kedi:yi
cesaret,cesaret
anlama,anlam:a
arkasını,arka:sını
tepesinde,tepe:sinde
şapkacıdan,şapka:cıdan
kekin,kek:in
kısık,kısık
dış,dış
eti,et:i
ele,ele
yaratığın,yaratık:ın
edici,et:ici
sözü,söz:ü
konuşmadı,konuş:madı
kavgaya,kavga:ya
davranış,davranış
yürüyordu,yürü:yordu
mahkemenin,mahkeme:nin
söyleyebilirdi,söyle:yebilirdi
gine,gine
alamadı,al:amadı
yanıtladım,yanıtla:dım
dendiğini,de:ndiğini
sessiz,sessiz
anlamıyorum,anla:mıyorum
bulabilirsem,bul:abilirsem
karşılamaya,karşıla:maya
edermiş,eder:miş
kadarsa,kadar:sa
dizlerinin,diz:lerinin
ederek,et:erek
bekledikten,bekle:dikten
oluşturdular,oluş:turdular
çiğ,çiğ
gösterebilme,göster:ebilme
güller,gülle:r
yakmadığını,yak:madığını
üçü,üç:ü
kızdırdığını,kız:dırdığını
tacını,taç:ını
nargilesini,nargile:sini
duyunca,duyu:nca
beynim,beyin:im
alkışlamaya,alkışla:maya
gitmedi,git:medi
bilmiyor,bil:miyor
bebeği,bebek:i
kuyusundan,kuyu:sundan
henüz,henüz
şarkının,şarkı:nın
kıyısında,kıyı:sında
kes,kes
içeceğe,içecek:e
turtalarla,turta:larla
sıçanları,sıçan:ları
geride,geri:de
kaybolana,kaybol:ana
yetkili,yetkili
ağızdan,ağız:dan
sapına,sap:ına
anlatacak,anlat:acak
düşüneyim,düşün:eyim
açıklamaya,açıkla:maya
yaşlarında,yaş:larında
şık,şık
gördüğüme,gör:düğüme
kurumasını,kuru:masını
konmaya,kon:maya
söylediği,söyle:diği
yanaşıp,yanaş:ıp
yaklaşıyor,yaklaş:ıyor
sizler,siz:ler
heyecanla,heyecan:la
çözmek,çöz:mek
boyda,boy:da
görmenin,gör:menin
yakalayıp,yakala:yıp
kadar,kadar
anahtara,anahtar:a
havada,hava:da
kalmadığını,kal:madığını
küçük,küçük
var,var
partisiydi,parti:siydi
söyleyecektim,söyle:yecektim
omuzlarım,omuzla:rım
havuzu,havuz:u
çekmeyi,çekme:yi
karar,karar
yazısını,yazı:sını
ağzıyla,ağız:ıyla
çaydanlığın,çaydanlık:ın
koşarken,koş:arken
kirpisine,kirpi:sine
mezgitler,mezgit:ler
çatarak,çat:arak
koruya,koru:ya
izleyemedim,izle:yemedim
sizleri,siz:leri
ok,ok
başının,baş:ının
fareden,fare:den
kısalıyordu,kısal:ıyordu
uğraşmaya,uğraş:maya
yaşlandın,yaşlan:dın
koluna,kol:una
tutup,tut:up
yaratıkların,yaratık:ların
vericiydi,verici:ydi
denemekten,dene:mekten
taşıyacağını,taşı:yacağını
hayatı,hayat:ı
sabırsızlıkla,sabır:sızlıkla
kaçmak,kaç:mak
tahtalarına,tahta:larına
yazılır,yazılı:r
döndü,dön:dü
canı,can:ı
ara,ara
eğip,eğ:ip
kararsızlık,karar:sızlık
sever,sev:er
götür,götür
zayıfladı,zayıfla:dı
oradayken,ora:dayken
onun,onun
takar,taka:r
bahçesindeki,bahçe:sindeki
kahkahayı,kahkaha:yı
kiraz,kiraz
ile,ile
denemesini,deneme:sini
olduğumu,ol:duğumu
kesmemeye,kes:memeye
dair,dair
pekmezini,pekmez:ini
dedin,de:din
sormadı,sor:madı
sormayı,sor:mayı
tutuşmuşlar,tutuş:muşlar
mahkemeden,mahkeme:den
derdik,dert:ik
düğmelerini,düğme:lerini
telaş,telaş
olanaksız,olanak:sız
yaptığınız,yap:tığınız
öylece,öyle:ce
nefret,nefret
dolanırken,dolan:ırken
okumuştum,oku:muştum
fincan,fincan
hepinizin,hep:inizin
düşünüyorsun,düşün:üyorsun
getirir,getiri:r
gelmişti,gel:mişti
şeyim,şey:im
yararlanarak,yararlan:arak
gücendirmekten,gücen:dirmekten
oyuklarını,oyuk:larını
konserdeki,konser:deki
değilsiniz,değil:siniz
yağlı,yağ:lı
planlıyorsun,planla:ıyorsun
şaşkındı,şaşkın:dı
altı,altı
esnekti,esnek:ti
bilmiyorsun,bil:miyorsun
misin,mis:in
uçtan,uç:tan
görünmediği,gör:ünmediği
yapılmayacak,yapıl:mayacak
tıkırtıları,tıkırtı:ları
anlaşılıyordu,anlaş:ılıyordu
gelmeye,gel:meye
yapabilir,yap:abilir
çimdikleyin,çimdikle:yin
bak,bak
yelpazesini,yelpaze:sini
patatesleri,patates:leri
sorduğun,sor:duğun
havuz,havuz
gitseydim,git:seydim
sokabilir,sok:abilir
meseleyi,mesele:yi
yolculuğa,yolcu:luğa
beklettiğim,bekle:ttiğim
yorulup,yor:ulup
apaçık,apaçık
sırasıydı,sıra:sıydı
bakarak,bak:arak
istemiyorsan,iste:miyorsan
güzel,güzel
meselesi,mesele:si
hep,hep
içiyorlarmış,iç:iyorlarmış
etmedi,et:medi
düşen,düş:en
saçlarım,saç:larım
sustu,sus:tu
şömine,şömine
hüzünlü,hüzün:lü
odadan,oda:dan
yapılması,yapıl:ması
boğularak,boğ:ularak
okuyordunuz,oku:yordunuz
yuvarlak,yuvarlak
northumbria,northumbria
kırılan,kır:ılan
vermeyi,ver:meyi
biçimindeydiler,biçim:indeydiler
sıçrayarak,sıçra:yarak
falan,falan
başlıyor,başla:ıyor
anlayamamıştı,anla:yamamıştı
çakıl,çakıl
okuyabilecek,oku:yabilecek
karıştırdı,karış:tırdı
yaşlısın,yaşlı:sın
çabucak,çabucak
çalışıyor,çalış:ıyor
odaya,oda:ya
bilmece,bilmece
zarif,zarif
hazırlanıyor,hazırla:nıyor
anlatmalısınız,anlat:malısınız
bunu,bun:u
dolaşarak,dolaş:arak
saniye,saniye
kendin,kendi:n
ediyordu,et:iyordu
bakarken,bak:arken
kitaptaki,kitap:taki
soktu,sok:tu
yanı,yan:ı
titremekte,titre:mekte
hoşlanmıyordu,hoşlan:mıyordu
zaman,zaman
içime,içim:e
sakinleşti,sakin:leşti
istediği,iste:diği
çalınmış,çalı:nmış
olana,ol:ana
demekten,de:mekten
geldiğince,gel:diğince
kalmamıştı,kal:mamıştı
benzeri,benzeri
kitapların,kitap:ların
alçak,alçak
kalkmadan,kalk:madan
yaptırmaya,yap:tırmaya
dikleşti,dik:leşti
yerlerinden,yer:lerinden
kısalacağını,kısal:acağını
beşli,beş:li
sokarlar,sok:arlar
onları,onlar:ı
pat,pat
batırıp,batır:ıp
doluşuverdi,dol:uşuverdi
çevirdi,çevir:di
domuz,domuz
bahsetmeyiz,bahset:meyiz
kontları,kont:ları
hangisiyse,hangi:siyse
kolay,kolay
dağılıverdi,dağıl:ıverdi
şilin,şilin
duyamaz,duy:amaz
sizin,siz:in
düşünecekler,düşün:ecekler
gerçekten,gerçek:ten
uzunlukta,uzunluk:ta
yarısına,yarı:sına
kuyusuydu,kuyu:suydu
çıkabileceği,çık:abileceği
gerer,ger:er
yedin,yedi:n
kaz,kaz
art,art
gençliğimde,genç:liğimde
okuyan,oku:yan
ayağa,ayak:a
acınacak,acı:nacak
isteğiyle,istek:iyle
alacak,alacak
güldüğü,gül:düğü
kız,kız
hırçınlığının,hırçın:lığının
doğrusu,doğru:su
çekiştirmeye,çekiştir:meye
konuşmaksızın,konuş:maksızın
kaba,kaba
hepimizin,hep:imizin
kaplumbağaydı,kaplumbağa:ydı
olursa,ol:ursa
nargileyi,nargile:yi
bildiğini,bil:diğini
hikayesini,hikaye:sini
borazanı,borazan:ı
diğerleri,diğer:leri
acıktığını,acık:tığını
eteğinin,etek:inin
dibinde,dib:inde
uykuda,uyku:da
söylüyor,söyle:üyor
uzak,uzak
fırlayıp,fırla:yıp
sesidir,ses:idir
kediydi,kedi:ydi
dönüyor,dön:üyor
olmadığımdan,olmadık:ımdan
ciyaklıyordu,ciyak:lıyordu
kalmadı,kal:madı
alınıyorsun,alın:ıyorsun
kıkırdadı,kıkırda:dı
tatil,tatil
yaklaşamadı,yaklaş:amadı
kedisi,kedi:si
geçtiklerinde,geç:tiklerinde
dolaşmakta,dolaş:makta
neydi,ney:di
düzgün,düzgün
dümdüz,dümdüz
çağırın,çağır:ın
izlediği,izle:diği
yıkanıp,yıka:nıp
hayvanlar,hayvan:lar
onlardan,onlar:dan
kürkleri,kürk:leri
yüzdü,yüz:dü
istiyorsun,iste:iyorsun
öğrenmişti,öğren:mişti
beşi,beş:i
söylenen,söylen:en
derinden,derin:den
kraliyet,kraliyet
tarihi,tarihi
göstererek,göster:erek
söylememişti,söyle:memişti
unutan,unut:an
desteklenmeye,destekle:nmeye
konuşmanın,konuş:manın
deliler,deli:ler
başlayarak,başla:yarak
anlatsın,anlat:sın
çarptırıp,çarp:tırıp
tanığın,tanık:ın
görebildiği,gör:ebildiği
tutmakta,tut:makta
taşları,taş:ları
çimdiklemeye,çimdikle:meye
makinesi,makine:si
hıçkırarak,hıçkır:arak
yöneldiğini,yönel:diğini
vııı,vıı:ı
büyük,büyük
ortalıkta,ortalık:ta
ortadaydı,orta:daydı
işte,işte
kuşlardan,kuş:lardan
denize,deniz:e
gözümle,göz:ümle
gelmek,gel:mek
köprülerin,köprü:lerin
zorluk,zor:luk
konuşuyordu,konuş:uyordu
tutabilirsin,tut:abilirsin
çarpıtmanın,çarpıt:manın
biz,biz
filan,filan
geleceğinden,gelecek:inden
diğerine,diğer:ine
bozama,boza:ma
sahilin,sahil:in
tutması,tut:ması
tırmanmaya,tırman:maya
kurtuldum,kurtul:dum
kızım,kız:ım
fırlatıp,fırla:tıp
yakınan,yakın:an
ağlamasaydım,ağla:masaydım
yetişmiyor,yetiş:miyor
gelin,gelin
izi,iz:i
çekeceğim,çekecek:im
tencere,tencere
çalışıyorlardı,çalış:ıyorlardı
kavradı,kavra:dı
edemedi,et:emedi
kulakları,kulak:ları
söylese,söyle:se
boyuna,boyun:a
söylendi,söylen:di
affedersiniz,affedersiniz
kollarını,kol:larını
toplamaya,topla:maya
dikiş,dikiş
tıkırtılarını,tıkırtı:larını
düşündüğünde,düşün:düğünde
gülümseyen,gülümse:yen
azının,azı:nın
yetinmek,yetin:mek
anladı,anla:dı
uyuyup,uyu:yup
mutfakta,mutfak:ta
serseme,sersem:e
kraliçe,kraliçe
avuçlarına,avuç:larına
nazik,nazik
yürüyüşten,yürüyüş:ten
yılı,yıl:ı
denemeden,deneme:den
inmeni,inme:ni
hepsi,hepsi
üstlerine,üst:lerine
budur,bu:dur
diyen,de:iyen
senin,sen:in
tümü,tüm:ü
derstir,ders:tir
der,der
söyle,söyle
yoruldum,yor:uldum
kolayca,kolay:ca
yılanları,yılan:ları
dışındaki,dışı:ndaki
gücü,güç:ü
görüyordu,gör:üyordu
değişir,değiş:ir
dizlerinde,diz:lerinde
söylerken,söyle:rken
raflardan,raf:lardan
korkuyorlardır,kork:uyorlardır
anlaşılmaz,anlaş:ılmaz
delikten,delik:ten
attı,at:tı
dinlesin,dinle:sin
bırakıyorlardı,bırak:ıyorlardı
öğretmen,öğretmen
boylam,boylam
belki,belki
tarafında,taraf:ında
koşuşturmalar,koşuş:turmalar
girmen,gir:men
dansetmeye,danset:meye
mantar,mantar
korktuğu,kork:tuğu
yutması,yut:ması
tersine,tersin:e
gözlüklerini,gözlük:lerini
kedisini,kedi:sini
bilgiye,bilgi:ye
kazayla,kaza:yla
inkar,inkar
delirmemişti,delir:memişti
düzeltip,düzelt:ip
dönmüş,dön:müş
dikkatle,dikkat:le
er,er
görmez,gör:mez
farketmediği,farket:mediği
hakim,hakim
halinden,hal:inden
jürisiz,jüri:siz
emin,emin
ortalığa,ortalık:a
yaptıklarının,yap:tıklarının
yokmuş,yok:muş
eğildiler,eğil:diler
aşağıdaki,aşağı:daki
rahatsız,rahatsız
roma,rom:a
kağıdı,kağıt:ı
taktı,takt:ı
soğuk,soğuk
giderken,gider:ken
vururdun,vur:urdun
şarkıcıların,şarkı:cıların
atamadan,ata:madan
kırpmış,kırp:mış
bahçenin,bahçe:nin
eminsin,emin:sin
etmezlerdi,et:mezlerdi
gece,gece
arttırdı,art:tırdı
boğazlayın,boğazla:yın
isabet,isabet
haşmetli,haşmet:li
yıldızına,yıldız:ına
defa,defa
attıklarında,at:tıklarında
bağırıp,bağır:ıp
dönmüştü,dön:müştü
onunla,onun:la
yazılacağını,yaz:ılacağını
anahtarın,anahtar:ın
yürümen,yürü:men
yapacağım,yap:acağım
değiştirmeye,değiş:tirmeye
yazabilseydim,yaz:abilseydim
görülür,gör:ülür
çember,çember
tavşanının,tavşan:ının
hediyeler,hediye:ler
endişeli,endişe:li
kıl,kıl
yaşıyorlar,yaşa:ıyorlar
zordu,zor:du
kendisini,kendi:sini
söylediklerinizi,söyle:diklerinizi
bir,bir
çeviren,çevir:en
düşünerek,düşün:erek
süzülürüm,süzül:ürüm
bitirdi,bitir:di
masanın,masa:nın
üzeri,üzeri
döküldüler,dök:üldüler
deli,deli
omuzları,omuz:ları
yukarısı,yukarı:sı
çağırmalarını,çağır:malarını
metre,metre
katıl,katıl
çirkindi,çirkin:di
istediğimde,iste:diğimde
mahkemeyi,mahkeme:yi
sürümler,sürüm:ler
büyümeye,büyü:meye
alçaltarak,alçalt:arak
almalısınız,al:malısınız
çevirir,çeviri:r
kesilemezdi,kes:ilemezdi
kadarıyla,kadar:ıyla
gömdüler,göm:düler
maceralarını,macera:larını
olmak,ol:mak
aşağıya,aşağı:ya
olmalı,ol:malı
takılıydı,takı:lıydı
vermemişti,ver:memişti
tahtaları,tahta:ları
resim,resim
sevinçlerde,sevinç:lerde
gördüğünde,gör:düğünde
dolaştıktan,dolaş:tıktan
karışmış,karış:mış
çevir,çevir
dörtlüğünü,dört:lüğünü
sanmıştım,san:mıştım
atılanların,atıl:anların
götürmezsem,götür:mezsem
parçasına,parça:sına
deliyiz,deli:yiz
bildiklerimle,bil:diklerimle
öğrendik,öğren:dik
geçmiyordu,geç:miyordu
önündeki,ön:ündeki
duyduğumuz,duy:duğumuz
cumburlop,cumburlop
burun,burun
hokkabaz,hokkabaz
bunlar,bun:lar
sahanın,sahan:ın
çatalı,çatal:ı
tutuşmuştu,tutuş:muştu
yazdılar,yaz:dılar
farketmedi,farket:medi
kapamayacağım,kapa:mayacağım
domuzdu,domuz:du
inceliyordu,incel:iyordu
işitebilmek,işit:ebilmek
duymuştum,duy:muştum
dinleniyorlardı,dinlen:iyorlardı
dizinde,dizin:de
söyleyecek,söyle:yecek
timsah,timsah
gözetim,gözetim
kağıtta,kağıt:ta
ı,ı
beraber,beraber
konuşmakta,konuş:makta
olacaktır,ol:acaktır
parmaklarının,parmak:larının
daracık,daracık
analarını,ana:larını
ederiz,eder:iz
duyacak,duy:acak
yaşından,yaş:ından
üç,üç
sanırım,sanı:rım
ise,ise
eyvah,eyvah
arada,ara:da
yaşamamışsınızdır,yaşama:mışsınızdır
kal,kal
gelip,gel:ip
saati,saat:i
eğleneceğiz,eğlen:eceğiz
kulaklarına,kulak:larına
seninkine,sen:inkine
yalar,yala:r
niçin,niçin
oldukça,ol:dukça
dinlemiyorsun,dinle:miyorsun
kalmalı,kal:malı
tasalanıp,tasalan:ıp
tuttu,tut:tu
yıkanma,yıka:nma
kıtaya,kıta:ya
açıklanırsa,açıkla:nırsa
ingilizceydi,ingilizce:ydi
kötü,kötü
yüzemem,yüz:emem
boğmayın,boğ:mayın
sürdürdü,sürdür:dü
kuruyacaklarıydı,kuru:yacaklarıydı
işe,işe
sıkmayın,sık:mayın
zamankinden,zaman:kinden
ya,ya
deneyecek,dene:yecek
salonunun,salon:unun
emindi,emin:di
gözle,gözle
görmediğini,gör:mediğini
gittikçe,git:tikçe
ezilmekten,ez:ilmekten
şişesini,şişe:sini
dönebilirim,dön:ebilirim
hayvanlarla,hayvan:larla
yatıyorlardı,yat:ıyorlardı
birincisi,birinci:si
yaşlarla,yaş:larla
görünmesinin,gör:ünmesinin
mart,mart
anlayınca,anla:yınca
söyledikleri,söyle:dikleri
şıpırdatarak,şıpır:datarak
işiterek,işit:erek
borazan,borazan
homurtu,homurtu
taşırırsın,taşır:ırsın
konuşmak,konuş:mak
çıkarıyorlar,çıkar:ıyorlar
eldivenlerinden,eldiven:lerinden
sırıtmayan,sırıt:mayan
geçide,geçit:e
burada,bura:da
tutmaya,tut:maya
ilgilendirir,ilgilen:dirir
